Name [AA]8.8cm AAGun Shell
ShortName aa_flak18_shell
Description DamageVsPlayer 50_DamageVsVehicles 800_DamageVsPlanes 200_Explosion 8_ExplosionDamageVsPlayer 0.0_ExplosionDamageVsPlane 50_ExplosionDamageVsVehicle 0.5__[AAG]8.8cm Flak18
Model cvts.MGBullet2
Texture MGBullet2_Yellow
//Colour of icon and model
Colour 255 255 255
Icon ger_aa_88mm
//How affected by gravity the bullet is
FallSpeed 0.0
//The maximum stack size
MaxStackSize 1
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 8
//The damage multiplier caused by the bullet on hitting an entity
DamageVsLiving 50
DamageVsVehicles 800
DamageVsPlanes 200
//Size of explosion caused
ExplosionRadius 8.0
ExplosionDamageVsPlayer 0.0
ExplosionDamageVsLiving 0.0
ExplosionDamageVsPlane 50
ExplosionDamageVsVehicle 0.5

VehicleProximityTrigger 5.0
LivingProximityTrigger 2.0

//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact True
Fuse 400
PrimeDelay 5
FlakParticles 20
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass False
//Size of box to check for entities to hit / detonate
HitBoxSize 0.5
HitSound explcls1
HitSoundRange 400
HitSoundEnable true
EntityHitSoundEnable true
//Whether or not the bullet can travel through an entity having hit it
Penetrates False
SmokeTrail True
HasLight True
//True if this is a bomb
Bomb False
Shell False
WeaponType Shell
DragInWater 1.00
DragInAir 0.99
TrailParticles True
TrailParticleType fireworksSpark
HasLight True
