////Name and icon
Name [GR]Mk.2
ShortName mk2
Description 
Icon mk2
//Colour in Red, Green, Blue, each going up to 255
Colour 255 255 255
////Item and recipe
ItemID 10510
StackSize 3
////Visuals
Model heka.Mk2
Texture mk2
TrailParticles false
//TrailParticleType <particleType>
ExplodeParticles 0
//ExplodeParticleType <particleType>
SmokeTime 0
//SmokeParticleType <particleType>
SpinWhenThrown true
////Throwing
ThrowDelay 50
DistortSound False
//ThrowSound FireInTheHoleUS
//DropItemOnThrow <itemID.damage>
////Physics
DetonateOnImpact false
Bounciness 0.7
HitEntityDamage 0
ThrowSpeed 2.1
FallSpeed 1.5
BreaksGlass false
PenetratesBlocks false
HitBoxSize 0.1
Sticky false
//BounceSound <sound>
////Detonation conditions
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 60
DetonateWhenShot true
Remote false
//DespawnTime 0
PrimeDelay 60
////Detonation
FireRadius 0.0
ExplosionRadius 3.5
ExplosionDamageVsLiving 0.75
ExplosionDamageVsPlayer 0.75
ExplosionDamageVsPlane 1.0
ExplosionDamageVsVehicle 1.0
ExplosionBreaksBlocks false
//DropItemOnDetonate <itemID.damage>
DetonateSound granade6
////Misc
MeleeDamage 1
RecipeOutput 1
ShapelessRecipe mk2_mine
