Name [AR3]FG42/II
ShortName fg42_ii
Description [AR3]AR 20Round Magazine [DamageVsLiving 5.25]_ShootDelay 3_EquipPoint 7
//The ammo this gun uses (shortName)
Ammo dummyammo
Ammo ar3_ammo
Icon fg42scoped
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
ItemID 10100
//Reload time in ticks, 1/20ths of a second
ReloadTime 70
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 6.5
RandomRecoilRange 1.0
RandomRecoilYawRange 0.75
DecreaseRecoil 5.5
DecreaseRecoilYaw 10.0
//Damage in half hearts
Damage 1.05
IgnoreArmorProbability 1.0
IgnoreArmorDamageFactor 1.0
//Modifiers
MoveSpeedModifier 0.85
//The higher this value, the more the bullets spread
//AccuracyInADS 1
Accuracy 1.25
//Time in ticks between rounds
ShootDelay 3
ShootSound G43_Fire
ReloadSound M14reload
ReloadSoundRange 5
GunSoundRange 400
Mode FullAuto SemiAuto
//Default scope settings. Usually for aiming down sights. In which case, use FOVZoomLevel, not ZoomLevel
ZoomLevel 2.00
FOVZoomLevel 1.0
Deployable False
DeployedModel None
BulletSpeed 20
ShowRecoil true
ShowAccuracy true
ShowReloadTime true
//Model settings
Model yuque.FG42II
//ModelScale 0.19
ModelScale 0.12
Texture FG42II
Scope SARScope
//Attachment Settings
AllowAllAttachments false
//List here all the attachments allowed on this gun by shortName and separated by spaces
//AllowAttachments
AllowAttachments flanmosSuppressor flanmosAimPoint_H1 flanmosAimPoint_T2 flanmosKnightsForeGrip flanmosnxs flanMWFlashlight flanMWSingleFire flanMWBurstFire flanMWAutoFire
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments false
AllowGripAttachments true
NumGenericAttachmentSlots 0
//Paintjob Settings
//Format is "Paintjob iconName textureName requiredDyeAmount requiredDyeColour" Multiple colours may be listed in order, seperated by a space
//Dye colours are "black", "red", "green", "brown", "blue", "purple", "cyan", "silver", "gray", "pink", "lime", "yellow", "lightBlue", "magenta", "orange", "white"
