Name [RL]PanzerSchreck
ShortName panzerschreck
Description [RL1][HEAT]RocketLauncher Rocket_[RL1][HE]RocketLauncher Rocket_ShootDelay 60_EquipPoint 4
//The ammo this gun uses _shortName_
Ammo heat_rl1_rocket
Ammo he_rl1_rocket
Ammo dummyammo
Icon PanzerSchreckE8
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 100
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 3
DecreaseRecoil 2.00
DecreaseRecoilYaw 1.00
//Number of bullets to create on firing the weapon. If you set this to 2 knockback and Damage doubles, and multiplies 1 time per added shot.
NumBullets 1
//Damage in half hearts
Damage 1
IgnoreArmorProbability 1.0
IgnoreArmorDamageFactor 1.0
//Modifiers
MoveSpeedModifier 0.7
//The higher this value, the more the bullets spread
//AccuracyInADS 4
Accuracy 3
//Time in ticks between rounds
ShootDelay 60
DistortSound False
ShootSound PanzerSchreck_fire
ReloadSound PanzerSchreck_reload
ReloadSoundRange 5
GunSoundRange 400
Mode SemiAuto
//Scope.png name or None
Scope PanzerSchreckE8
ZoomLevel 1.2
FOVZoomLevel 1.0
//Deployable Settings
Deployable False
DeployedModel None
//Model Settings
Model evp2.PanzerschreckE8
ModelScale 1.00
Texture PanzerSchreckE8
BulletSpeed 4.5
ShowRecoil true
ShowAccuracy true
ShowReloadTime true
//Attachment Settings
AllowAllAttachments false
TrailParticles true
TrailParticleType fireworksSpark
//List here all the attachments allowed on this gun by shortName and separated by spaces
AllowAttachments flanMWSilencer flanMWRedDot flanMWACOG
AllowBarrelAttachments false
AllowScopeAttachments false
AllowStockAttachments false
AllowGripAttachments false
NumGenericAttachmentSlots 0
